timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-09T17:39:59.999Z,BTC-USD,BUY,62964.19,0.158820,Fast MA(9)=62738.90 crossed above Slow MA(21)=62726.30 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 63144.26.,raw,WIN,28.60
2026-07-09T20:19:59.999Z,BTC-USD,BUY,63169.87,0.158756,Fast MA(9)=63198.63 crossed above Slow MA(21)=63195.57 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63226.79.,raw,WIN,9.04
2026-07-09T20:34:59.999Z,BTC-USD,BUY,63265.10,0.158660,Fast MA(9)=63195.86 crossed above Slow MA(21)=63194.55 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63222.33.,raw,LOSS,-6.79
2026-07-09T22:29:59.999Z,BTC-USD,BUY,63293.51,0.158481,Fast MA(9)=63247.36 crossed above Slow MA(21)=63245.89 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63120.81.,raw,LOSS,-27.37
2026-07-10T01:34:59.999Z,BTC-USD,BUY,63283.19,0.158075,Fast MA(9)=63121.67 crossed above Slow MA(21)=63105.50 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 63881.49.,raw,WIN,94.58
2026-07-10T04:04:59.999Z,BTC-USD,BUY,63965.69,0.157867,Fast MA(9)=63866.92 crossed above Slow MA(21)=63857.55 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64132.40.,raw,WIN,26.32
2026-07-10T07:49:59.999Z,BTC-USD,BUY,63897.31,0.158448,Fast MA(9)=63895.30 crossed above Slow MA(21)=63884.39 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64375.60.,raw,WIN,75.78
2026-07-10T12:19:59.999Z,BTC-USD,BUY,64411.72,0.158359,Fast MA(9)=64386.35 crossed above Slow MA(21)=64385.04 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64239.01.,raw,LOSS,-27.35
2026-07-10T14:04:59.999Z,BTC-USD,BUY,64301.44,0.158205,Fast MA(9)=64316.01 crossed above Slow MA(21)=64307.26 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64010.21.,raw,LOSS,-46.07
2026-07-10T16:34:59.999Z,BTC-USD,BUY,63968.00,0.158309,Fast MA(9)=63974.35 crossed above Slow MA(21)=63974.02 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63819.81.,raw,LOSS,-23.46
2026-07-10T17:24:59.999Z,BTC-USD,BUY,63917.09,0.158068,Fast MA(9)=63958.38 crossed above Slow MA(21)=63954.93 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63823.39.,raw,LOSS,-14.81
2026-07-10T19:39:59.999Z,BTC-USD,BUY,63992.06,0.157652,Fast MA(9)=63836.96 crossed above Slow MA(21)=63836.88 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63685.45.,raw,LOSS,-48.34
2026-07-10T21:19:59.999Z,BTC-USD,BUY,63879.99,0.157172,Fast MA(9)=63842.44 crossed above Slow MA(21)=63838.45 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64068.85.,raw,WIN,29.68
